시설종류,대상시설명,소재지도로명주소,경도(WGS84좌표),위도(WGS84좌표),관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,소재지지번주소,보호구역도로폭,데이터기준일자
어린이집,성모유치원,충청남도 당진시 신평면 신평시장2길 13-1,126.772272,36.884499,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 신평면 금천리 336,6,2015-08-24
어린이집,한울유치원,충청남도 당진시 청룡길 41,126.633109,36.886134,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 대덕동 1481,6,2015-08-24
어린이집,들꽃어린이집,충청남도 당진시 남부로 8,126.616734,36.882917,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 행정동 214-12,6,2015-08-24
어린이집,당진어린이집,충청남도 당진시 양지말길 8-1,126.635544,36.878558,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 대덕동 1161-1,6,2015-08-24
어린이집,예쁜어린이집,충청남도 당진시 합덕읍 면천로 1570-18,126.760322,36.81033,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 합덕읍 운산리 678-44,7,2015-08-24
어린이집,율곡어린이집,충청남도 당진시 송산면 도문로 13,126.684175,36.93756,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 송산면 삼월리 62-2,7,2015-08-24
어린이집,서머힐어린이집,충청남도 당진시 구봉로 170,126.660115,36.913509,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 원당동 70-2,6,2015-08-24
어린이집,늘푸른어린이집,충청남도 당진시 신평면 솔밭밑길 25,126.755135,36.879856,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 신평면 거산리 58-6,7,2015-08-24
어린이집,거산어린이집,충청남도 당진시 신평면 솔안말길 18,126.756512,36.880269,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 신평면 거산리 38-3,7,2015-08-24
어린이집,샬렘어린이집,충청남도 당진시 수청로 139-17,126.66145,36.896203,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 시곡동 955,6,2015-08-24
어린이집,대건어린이집,충청남도 당진시 태성1길 31-8,126.61915,36.903765,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 채운동 609-8,6,2015-08-24
어린이집,평화어린이집,충청남도 당진시 석문면 석문방조제로 2208-3,126.53967,37.014871,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 석문면 삼봉리 824-13,8,2015-08-24
어린이집,중흥어린이집,충청남도 당진시 송악읍 중흥2길 9-6,126.744715,36.937675,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 송악읍 중흥리 375-84,8,2015-08-24
어린이집,순성어린이집,충청남도 당진시 순성면 순성로 468,126.710447,36.842129,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 순성면 봉소리 65-2,8,2015-08-24
어린이집,꿈동산어린이집,충청남도 당진시 송악읍 신평로 1464,126.744771,36.929915,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 송악읍 중흥리 458-1,8,2015-08-24
어린이집,미래어린이집,충청남도 당진시 송산면 작은벌들길 95,126.690537,36.956735,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 송산면 유곡리 356-9,8,2015-08-24
어린이집,밤비니어린이집,충청남도 당진시 송악읍 틀모시로 708-13,126.696714,36.897667,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 송악읍 기지시리 41-10,6,2015-08-24
어린이집,지예슬어린이집,충청남도 당진시 운곡로 183,126.618075,36.894125,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 채운동 386-1,6,2015-08-24
어린이집,예꼬어린이집,충청남도 당진시 송악읍 반촌로 318-1,126.712217,36.894905,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 송악읍 반촌로 318-1,6,2015-08-24
어린이집,프라임어린이집,충청남도 당진시 원우두실로 130-10,126.632253,36.905262,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 우두동 394,6,2015-08-24
어린이집,신성대학교 부설유치원,충청남도 당진시 무수동7길 202,126.639396,36.895184,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 읍내동 37-4,6,2015-08-24
어린이집,e아이어린이집,충청남도 당진시 송산면 당산2로 40,126.651732,36.924629,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 송산면 금암리 84-2,7,2015-08-24
어린이집,별나라어린이집,충청남도 당진시 송악읍 송악로 36-1,126.693804,36.9072,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 송악읍 가학리 604-1,8,2015-08-24
어린이집,"이주단지 미소지움 어린이집",충청남도 당진시 신복운로3길 28,126.781622,36.939893,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 송악읍 복운리 1629-2,8,2015-08-24
